name,version,max_upload_time
pyarrow,15.0.2,2024-03-18 16:58:02.600855 UTC
pyarrow,15.0.1,2024-03-07 21:23:52.600322 UTC
pyarrow,15.0.0,2024-01-21 15:02:12.906767 UTC
pyarrow,14.0.2,2023-12-18 15:43:38.982482 UTC
pyarrow,14.0.1,2023-11-08 17:19:54.221065 UTC
pyarrow,14.0.0,2023-11-01 15:34:22.809168 UTC
pyarrow,13.0.0,2023-08-23 13:51:14.076075 UTC
pyarrow,12.0.1,2023-06-13 11:29:03.816691 UTC
pyarrow,12.0.0,2023-05-02 09:45:25.746714 UTC
pyarrow,11.0.0,2023-01-27 14:43:36.215390 UTC
pyarrow,10.0.1,2022-11-22 22:18:11.948632 UTC
pyarrow,10.0.0,2022-10-27 18:48:02.559780 UTC
pyarrow,9.0.0,2022-08-03 10:47:42.928966 UTC
pyarrow,8.0.0,2022-05-06 21:36:08.978166 UTC
pyarrow,7.0.0,2022-02-03 22:25:09.934851 UTC
pyarrow,6.0.1,2021-11-18 03:57:44.491982 UTC
pyarrow,6.0.0,2021-10-26 15:07:25.718618 UTC
pyarrow,5.0.0,2021-07-28 18:32:50.190487 UTC
pyarrow,4.0.1,2021-05-30 17:17:48.753816 UTC
pyarrow,4.0.0,2021-04-26 23:45:11.618244 UTC
pyarrow,3.0.0,2021-01-26 01:09:41.280007 UTC